אצל,787
שור,785
יז,782
לעשות,780
הקבה,780
קטן,779
לחם,777
שהיא,775
זהב,770
אמרינן,769
משמיה,765
מזבח,762
דהוה,761
חצי,760
כד,760
נינהו,760
ששת,758
אשם,757
רא,757
מילתא,755
לר,755
לית,752
כלום,751
יתן,747
קמיה,746
כולן,744
חבירו,744
מאה,739
ידו,734
אמו,732
קדש,731
קסבר,731
קודם,731
למד,729
עביד,727
רבינא,727
כר,727
עשו,723
מצות,721
אידך,718
רישא,717
יבא,717
הכתוב,717
למטה,716
עדים,713
פני,713
אעפ,711
יהא,706
ריש,705
זמן,703
הכהן,702
מצרים,701
עליהן,699
יודע,699
הם,699
תלמוד,698
כנגד,691
שלו,690
קנה,690
ירמיה,690
משמע,690
חייבין,689
לפניו,689
לב,688
אלה,687
שבעה,686
כאשר,686
נשים,686
אידי,685
דרבנן,683
הלכתא,680
האשה,679
לזה,677
העיר,674
כז,674
אהרן,673
כ,673
איבעית,672
מיד,671
מיתיבי,670
אלהי,670
הלא,669
אסי,667
אפשר,667
מכלל,665
למאן,663
יוצא,663
אחרים,660
נפקא,659
איני,659
מיבעי,658
נא,657
חלב,656
עלמא,649
לכהן,648
פלוני,648
עליהם,644
כהנא,644
עולם,643
אשת,642
זאת,641
שדה,640
מועד,639
עושין,638
מני,638
דרבא,638
גברא,638
דקתני,636
בהו,633
אדני,632
כלל,628
אחיו,628
העולם,625
גדולה,620
עובד,619
לקמיה,619
ראש,618
בשעת,618
ברבי,618
כמאן,617
מנה,615
לשם,615
אמי,615
שוה,614
בינייהו,613
פסולה,613
רוח,612
משלי,611
תאמר,610
מלכים,609
כשרה,608
שהן,608
להיות,608
בד,607
כולה,605
תעשה,605
הראשון,604
ראה,601
פירות,600
בחוץ,600
כח,599
זכר,598
המזבח,598
התורה,593
בעינן,593
שלמים,592
רשות,592
יאמרו,591
להלן,590
אינן,590
לרבות,588
הלך,587
מנלן,587
מאות,587
טהורה,585
מודה,585
שכר,582
פתח,582
ישב,582
שבועה,581
אלמא,581
ליהוה,580
בכור,579
בהא,578
מום,577
חיב,577
במה,574
שאם,572
חדש,570
מתקיף,570
בנים,570
בידו,570
עבדי,569
אלי,569
שבע,568
יאכל,568
פחות,568
שמו,567
מעל,567
נוטל,567
בהם,565
לתוך,563
כהנים,562
יעשה,557
מיתה,557
ליכא,554
שנו,554
מלא,554
עולא,553
כלים,551
השבת,547
האומר,547
כרת,546
תא,546
נפש,544
יפה,544
קמיפלגי,543
נמצא,543
דאית,543
רמי,542
חמא,542
אעג,541
קאי,540
דהא,540
שהיו,539
פרט,538
בעלמא,538
אסורה,537
אליו,537
שמה,536
סוף,535
איסור,534
חזר,533
הכהנים,532
דתימא,532
ביתו,530
דמים,529
אותן,529
דעתך,528
פסח,527
בכלי,527
שניהם,526
מעיקרא,525
בשני,525
בניו,524
בזה,522
אליבא,521
שלום,520
איבעיא,520
לד,520
נעשה,519
אלהיך,519
תרתי,518
שאינה,518
ל,518
ברוך,517
מדבר,517
אבהו,516
דאורייתא,515
יומא,515
קול,514
שש,513
כזית,512
חמור,512
סלקא,509
קטנה,509
אנן,508
מחצה,508
המים,507
בדבר,507
מזה,506
למאי,504
שלמה,504
תנאי,504
האיש,503
מלמד,502
שחיטה,502
לנו,501
ידע,501
בעלי,501
כולו,500
הנ,500
למעוטי,499
קרי,499
יתיב,499
סד,499
למחר,498
עתה,496
עיר,496
חנה,495
באו,495
בתורה,495
שמים,493
בלילה,492
נותנין,491
מעות,490
בתר,489
שלח,487
שאר,487
האלהים,487
ההיא,485
הדבר,485
האב,485
מלאכה,484
הימים,483
ארבעים,482
נכנס,482
נימא,482
עליך,481
נפל,481
רבים,480
לרבנן,479
מקדש,479
ברשות,478
הדם,477
מתה,475
אלף,475
בתרומה,475
הים,474
שער,473
עבודת,473
חיה,469
אחרי,469
בעלה,468
אנשי,468
עומד,467
עובר,467
לישראל,467
אנכי,467
רבו,466
אתכם,465
ירמיהו,464
עמי,462
יהיו,462
מתוך,462
לבני,461
איתיביה,461
מעלה,461
כוותיה,460
מצא,457
הרבים,454
מיבעיא,454
חזי,453
מתנה,452
אוכלין,452
שפיר,451
שיהא,451
סימן,451
טעם,451
קדשי,450
אילו,450
מבית,448
לענין,447
הפסח,447
חי,447
איוב,447
אותם,446
אסורין,445
ימי,444
מכר,443
זרע,442
לרבא,440
משל,440
יקח,440
לדבר,439
טפח,439
בבל,439
יותר,439
טפחים,439
דרש,438
אדא,437
פעמים,437
יצאו,436
כשהוא,433
ערב,432
מנחה,432
דינא,431
ראשו,430
יחזקאל,430
הדין,429
נאם,429
השמים,429
קמא,428
חיים,428
רוב,426
בש,426
השני,425
גמר,424
עמך,422
לאכול,421
מהכא,421
ששה,418
מהם,418
סברי,418
לג,418
מחלוקת,417
ירושלם,417
עבר,416
יביא,416
חמשים,415
ראשונה,414
בדרך,414
חוזר,414
לבי,413
אחכ,413
אבין,412
הולך,409
צריכה,409
עבודה,408
שאמר,407
הרבה,407
די,407
בקר,406
לילה,405
אש,403
שניה,402
מנת,402
אבוה,401
